X,Temp (K),X,M_loop_raw,X,Mf,X,M_grid,X,Mrh,X,Mih,X,Mf_fit,X,M_err,X,Mbf_dot
,250,4.740694642,0.407833947,4.723020896,0.042010103,4.723020896,0.406158608,4.723020896,0.00138213,4.723020896,0.040627973,,,4.718038806,-0.000393298,,
,250,4.735694144,0.407420437,4.718038806,0.04199326,4.718038806,0.405742659,4.718038806,0.001387172,4.718038806,0.040606088,,,4.713056716,-0.000407838,,
,250,4.730693647,0.407006436,4.713056716,0.041977076,4.713056716,0.405326584,4.713056716,0.001393693,4.713056716,0.040583383,,,4.708074627,-0.00042315,,
,250,4.725693149,0.406591813,4.708074627,0.041961566,4.708074627,0.404910522,4.708074627,0.001401785,4.708074627,0.040559781,,,4.703092537,-0.000439132,,
,250,4.720692652,0.406176442,4.703092537,0.041946715,4.703092537,0.404494611,4.703092537,0.001411489,4.703092537,0.040535225,,,4.698110448,-0.000455665,,
,250,4.715692154,0.405760346,4.698110448,0.04193248,4.698110448,0.404078992,4.698110448,0.001422793,4.698110448,0.040509687,,,4.693128358,-0.000472551,,
,250,4.710691657,0.405343662,4.693128358,0.041918788,4.693128358,0.403663802,4.693128358,0.001435623,4.693128358,0.040483165,,,4.688146269,-0.000489549,,
,250,4.705691159,0.40492653,4.688146269,0.041905543,4.688146269,0.403249181,4.688146269,0.001449854,4.688146269,0.040455689,,,4.683164179,-0.000506406,,
,250,4.700690662,0.404509091,4.683164179,0.04189263,4.683164179,0.402835269,4.683164179,0.001465311,4.683164179,0.040427319,,,4.67818209,-0.000522873,,
,250,4.695690164,0.404091486,4.67818209,0.041879928,4.67818209,0.402422204,4.67818209,0.001481786,4.67818209,0.040398141,,,4.6732,-0.000538698,,
,250,4.690689667,0.403673855,4.6732,0.041867321,4.6732,0.402010125,4.6732,0.001499063,4.6732,0.040368258,,,4.66821791,-0.000553633,,
,250,4.685689169,0.403256339,4.66821791,0.041854694,4.66821791,0.401599172,4.66821791,0.001516925,4.66821791,0.040337768,,,4.663235821,-0.000567425,,
,250,4.680688672,0.402839078,4.663235821,0.041841919,4.663235821,0.401189484,4.663235821,0.001535161,4.663235821,0.040306757,,,4.658253731,-0.000579825,,
,250,4.675688174,0.402422213,4.658253731,0.041828867,4.658253731,0.400781199,4.658253731,0.001553561,4.658253731,0.040275306,,,4.653271642,-0.000590581,,
,250,4.670687677,0.402005886,4.653271642,0.041815434,4.653271642,0.400374457,4.653271642,0.001571932,4.653271642,0.040243502,,,4.648289552,-0.000599444,,
,250,4.665687179,0.401590236,4.648289552,0.041801564,4.648289552,0.399969396,4.648289552,0.001590107,4.648289552,0.040211457,,,4.643307463,-0.000606165,,
,250,4.660686682,0.401175404,4.643307463,0.041787257,4.643307463,0.399566155,4.643307463,0.001607933,4.643307463,0.040179323,,,4.638325373,-0.000610538,,
,250,4.655686184,0.40076153,4.638325373,0.041772535,4.638325373,0.399164827,4.638325373,0.001625274,4.638325373,0.040147262,,,4.633343284,-0.000612515,,
,250,4.650685687,0.400348757,4.633343284,0.041757328,4.633343284,0.398765348,4.633343284,0.001641993,4.633343284,0.040115335,,,4.628361194,-0.000612168,,
,250,4.645685189,0.399937223,4.628361194,0.041741497,4.628361194,0.398367536,4.628361194,0.001657938,4.628361194,0.040083558,,,4.623379104,-0.000609571,,
,250,4.640684692,0.39952707,4.623379104,0.041724932,4.623379104,0.397971205,4.623379104,0.00167294,4.623379104,0.040051992,,,4.618397015,-0.000604797,,
,250,4.635684194,0.399118438,4.618397015,0.041707535,4.618397015,0.39757617,4.618397015,0.001686804,4.618397015,0.040020732,,,4.613414925,-0.000597922,,
,250,4.630683697,0.398711468,4.613414925,0.041689206,4.613414925,0.397182245,4.613414925,0.001699312,4.613414925,0.039989894,,,4.608432836,-0.000589019,,
,250,4.625683199,0.398306301,4.608432836,0.041669853,4.608432836,0.396789244,4.608432836,0.001710258,4.608432836,0.039959595,,,4.603450746,-0.000578163,,
,250,4.620682701,0.397903068,4.603450746,0.041649412,4.603450746,0.396396981,4.603450746,0.00171948,4.603450746,0.039929932,,,4.598468657,-0.000565443,,
,250,4.615682204,0.397501738,4.598468657,0.041627847,4.598468657,0.396005271,4.598468657,0.001726877,4.598468657,0.03990097,,,4.593486567,-0.000551014,,
,250,4.610681706,0.397102128,4.593486567,0.041605151,4.593486567,0.395613927,4.593486567,0.001732406,4.593486567,0.039872744,,,4.588504478,-0.000535086,,
,250,4.605681209,0.39670405,4.588504478,0.04158134,4.588504478,0.395222764,4.588504478,0.001736087,4.588504478,0.039845253,,,4.583522388,-0.000517879,,
,250,4.600680711,0.396307317,4.583522388,0.041556452,4.583522388,0.394831596,4.583522388,0.001737991,4.583522388,0.03981846,,,4.578540299,-0.000499614,,
,250,4.595680214,0.395911739,4.578540299,0.041530528,4.578540299,0.394440237,4.578540299,0.001738229,4.578540299,0.039792299,,,4.573558209,-0.00048051,,
,250,4.590679716,0.395517131,4.573558209,0.041503608,4.573558209,0.394048501,4.573558209,0.001736925,4.573558209,0.039766683,,,4.568576119,-0.000460788,,
,250,4.585679219,0.395123302,4.568576119,0.041475729,4.568576119,0.393656203,4.568576119,0.001734202,4.568576119,0.039741527,,,4.56359403,-0.000440668,,
,250,4.580678721,0.394730067,4.56359403,0.041446937,4.56359403,0.393263157,4.56359403,0.00173018,4.56359403,0.039716756,,,4.55861194,-0.00042037,,
,250,4.575678224,0.394337236,4.55861194,0.041417279,4.55861194,0.392869177,4.55861194,0.001724976,4.55861194,0.039692303,,,4.553629851,-0.000400114,,
,250,4.570677726,0.393944623,4.553629851,0.041386789,4.553629851,0.392474077,4.553629851,0.001718695,4.553629851,0.039668094,,,4.548647761,-0.00038012,,
,250,4.565677229,0.393552038,4.548647761,0.041355469,4.548647761,0.392077671,4.548647761,0.001711428,4.548647761,0.039644041,,,4.543665672,-0.000360607,,
,250,4.560676731,0.393159294,4.543665672,0.041323275,4.543665672,0.391679775,4.543665672,0.001703247,4.543665672,0.039620028,,,4.538683582,-0.000341777,,
,250,4.555676234,0.392766204,4.538683582,0.041290136,4.538683582,0.391280221,4.538683582,0.001694214,4.538683582,0.039595922,,,4.533701493,-0.000323721,,
,250,4.550675736,0.39237258,4.533701493,0.041256042,4.533701493,0.390878953,4.533701493,0.001684397,4.533701493,0.039571645,,,4.528719403,-0.000306422,,
,250,4.545675239,0.391978232,4.528719403,0.041221047,4.528719403,0.390476021,4.528719403,0.001673885,4.528719403,0.039547162,,,4.523737313,-0.000289857,,
,250,4.540674741,0.391582975,4.523737313,0.04118518,4.523737313,0.390071483,4.523737313,0.001662768,4.523737313,0.039522412,,,4.518755224,-0.000274004,,
,250,4.535674244,0.391186619,4.518755224,0.041148455,4.518755224,0.389665396,4.518755224,0.001651142,4.518755224,0.039497312,,,4.513773134,-0.000258841,,
,250,4.530673746,0.390788978,4.513773134,0.041110895,4.513773134,0.389257816,4.513773134,0.001639123,4.513773134,0.039471772,,,4.508791045,-0.000244345,,
,250,4.525673249,0.390389862,4.508791045,0.041072545,4.508791045,0.3888488,4.508791045,0.001626833,4.508791045,0.039445711,,,4.503808955,-0.000230493,,
,250,4.520672751,0.389989088,4.503808955,0.041033461,4.503808955,0.388438404,4.503808955,0.001614389,4.503808955,0.039419072,,,4.498826866,-0.000217268,,
,250,4.515672254,0.38958658,4.498826866,0.040993716,4.498826866,0.388026687,4.498826866,0.001601888,4.498826866,0.039391828,,,4.493844776,-0.000204685,,
,250,4.510671756,0.389182388,4.493844776,0.0409534,4.493844776,0.387613704,4.493844776,0.001589415,4.493844776,0.039363985,,,4.488862687,-0.000192793,,
,250,4.505671259,0.38877657,4.488862687,0.040912617,4.488862687,0.387199513,4.488862687,0.001577032,4.488862687,0.039335584,,,4.483880597,-0.000181649,,
,250,4.500670761,0.388369183,4.483880597,0.04087148,4.483880597,0.38678417,4.483880597,0.001564785,4.483880597,0.039306695,,,4.478898507,-0.000171312,,
,250,4.495670264,0.387960284,4.478898507,0.040830108,4.478898507,0.386367732,4.478898507,0.0015527,4.478898507,0.039277408,,,4.473916418,-0.000161839,,
,250,4.490669766,0.387549932,4.473916418,0.040788621,4.473916418,0.385950257,4.473916418,0.001540793,4.473916418,0.039247828,,,4.468934328,-0.00015329,,
,250,4.485669269,0.387138184,4.468934328,0.040747133,4.468934328,0.3855318,4.468934328,0.001529077,4.468934328,0.039218056,,,4.463952239,-0.00014572,,
,250,4.480668771,0.386725097,4.463952239,0.040705762,4.463952239,0.38511242,4.463952239,0.001517571,4.463952239,0.039188191,,,4.458970149,-0.00013919,,
,250,4.475668274,0.386310728,4.458970149,0.040664629,4.458970149,0.384692171,4.458970149,0.001506298,4.458970149,0.039158331,,,4.45398806,-0.000133755,,
,250,4.470667776,0.385895136,4.45398806,0.040623848,4.45398806,0.384271113,4.45398806,0.001495283,4.45398806,0.039128566,,,4.44900597,-0.000129476,,
,250,4.465667279,0.385478377,4.44900597,0.040583527,4.44900597,0.3838493,4.44900597,0.001484547,4.44900597,0.03909898,,,4.444023881,-0.000126408,,
,250,4.460666781,0.385060509,4.444023881,0.040543757,4.444023881,0.383426791,4.444023881,0.0014741,4.444023881,0.039069657,,,4.439041791,-0.000124608,,
,250,4.455666284,0.38464159,4.439041791,0.040504621,4.439041791,0.383003645,4.439041791,0.001463937,4.439041791,0.039040685,,,4.434059701,-0.0001241,,
,250,4.450665786,0.384221677,4.434059701,0.040466215,4.434059701,0.382579952,4.434059701,0.001454091,4.434059701,0.039012124,,,4.429077612,-0.000124869,,
,250,4.445665289,0.383800828,4.429077612,0.04042866,4.429077612,0.382155841,4.429077612,0.001444636,4.429077612,0.038984025,,,4.424095522,-0.0001269,,
,250,4.440664791,0.3833791,4.424095522,0.040392077,4.424095522,0.381731444,4.424095522,0.001435624,4.424095522,0.038956452,,,4.419113433,-0.000130175,,
,250,4.435664294,0.382956551,4.419113433,0.040356581,4.419113433,0.381306893,4.419113433,0.001427086,4.419113433,0.038929495,,,4.414131343,-0.000134677,,
,250,4.430663796,0.382533237,4.414131343,0.040322288,4.414131343,0.380882319,4.414131343,0.001419031,4.414131343,0.038903256,,,4.409149254,-0.000140388,,
,250,4.425663299,0.382109217,4.409149254,0.040289299,4.409149254,0.380457854,4.409149254,0.001411461,4.409149254,0.038877838,,,4.404167164,-0.000147292,,
,250,4.420662801,0.381684549,4.404167164,0.040257697,4.404167164,0.380033631,4.404167164,0.00140438,4.404167164,0.038853317,,,4.399185075,-0.000155367,,
,250,4.415662303,0.381259321,4.399185075,0.040227537,4.399185075,0.37960978,4.399185075,0.00139781,4.399185075,0.038829728,,,4.394202985,-0.000164546,,
,250,4.410661806,0.380833663,4.394202985,0.040198852,4.394202985,0.379186435,4.394202985,0.001391783,4.394202985,0.038807068,,,4.389220896,-0.000174703,,
,250,4.405661308,0.380407708,4.389220896,0.040171647,4.389220896,0.378763726,4.389220896,0.001386353,4.389220896,0.038785295,,,4.384238806,-0.000185694,,
,250,4.400660811,0.379981589,4.384238806,0.040145914,4.384238806,0.378341786,4.384238806,0.001381587,4.384238806,0.038764326,,,4.379256716,-0.000197372,,
,250,4.395660313,0.379555441,4.379256716,0.040121631,4.379256716,0.377920746,4.379256716,0.001377574,4.379256716,0.038744057,,,4.374274627,-0.000209593,,
,250,4.390659816,0.379129396,4.374274627,0.040098779,4.374274627,0.377500739,4.374274627,0.001374415,4.374274627,0.038724364,,,4.369292537,-0.000222211,,
,250,4.385659318,0.378703587,4.369292537,0.040077343,4.369292537,0.377081896,4.369292537,0.001372217,4.369292537,0.038705126,,,4.364310448,-0.00023508,,
,250,4.380658821,0.378278148,4.364310448,0.0400573,4.364310448,0.376664348,4.364310448,0.001371077,4.364310448,0.038686223,,,4.359328358,-0.000248055,,
,250,4.375658323,0.377853213,4.359328358,0.040038612,4.359328358,0.376248229,4.359328358,0.001371082,4.359328358,0.03866753,,,4.354346269,-0.000260991,,
,250,4.370657826,0.377428914,4.354346269,0.040021255,4.354346269,0.375833669,4.354346269,0.001372318,4.354346269,0.038648937,,,4.349364179,-0.000273743,,
,250,4.365657328,0.377005385,4.349364179,0.040005246,4.349364179,0.375420801,4.349364179,0.001374877,4.349364179,0.038630369,,,4.34438209,-0.000286164,,
,250,4.360656831,0.376582759,4.34438209,0.039990654,4.34438209,0.375009756,4.34438209,0.001378896,4.34438209,0.038611758,,,4.3394,-0.000298111,,
,250,4.355656333,0.376161169,4.3394,0.039977618,4.3394,0.374600665,4.3394,0.001384576,4.3394,0.038593041,,,4.33441791,-0.000309543,,
,250,4.350655836,0.37574075,4.33441791,0.039966236,4.33441791,0.374193556,4.33441791,0.001392037,4.33441791,0.038574199,,,4.329435821,-0.000320633,,
,250,4.345655338,0.375321633,4.329435821,0.039956457,4.329435821,0.373788241,4.329435821,0.001401216,4.329435821,0.038555242,,,4.324453731,-0.000331568,,
,250,4.340654841,0.374903953,4.324453731,0.039948277,4.324453731,0.37338452,4.324453731,0.001412129,4.324453731,0.038536148,,,4.319471642,-0.000342535,,
,250,4.335654343,0.374487843,4.319471642,0.039941733,4.319471642,0.372982192,4.319471642,0.001424869,4.319471642,0.038516865,,,4.314489552,-0.000353721,,
,250,4.330653846,0.374073436,4.314489552,0.039936851,4.314489552,0.372581058,4.314489552,0.001439568,4.314489552,0.038497283,,,4.309507463,-0.000365312,,
,250,4.325653348,0.373660865,4.309507463,0.039933581,4.309507463,0.372180918,4.309507463,0.001456343,4.309507463,0.038477238,,,4.304525373,-0.000377495,,
,250,4.320652851,0.373250263,4.304525373,0.039931789,4.304525373,0.371781569,4.304525373,0.001475237,4.304525373,0.038456552,,,4.299543284,-0.000390445,,
,250,4.315652353,0.37284165,4.299543284,0.039931234,4.299543284,0.371382814,4.299543284,0.001496183,4.299543284,0.038435051,,,4.294561194,-0.000404195,,
,250,4.310651856,0.372434844,4.294561194,0.03993157,4.294561194,0.37098445,4.294561194,0.001519006,4.294561194,0.038412564,,,4.289579104,-0.00041851,,
,250,4.305651358,0.372029643,4.289579104,0.039932346,4.289579104,0.370586279,4.289579104,0.001543416,4.289579104,0.03838893,,,4.284597015,-0.000433035,,
,250,4.300650861,0.371625845,4.284597015,0.039933032,4.284597015,0.370188099,4.284597015,0.001569028,4.284597015,0.038364004,,,4.279614925,-0.000447413,,
,250,4.295650363,0.371223246,4.279614925,0.039933046,4.279614925,0.369789711,4.279614925,0.00159538,4.279614925,0.038337666,,,4.274632836,-0.000461288,,
,250,4.290649866,0.370821646,4.274632836,0.039931803,4.274632836,0.369390913,4.274632836,0.001621974,4.274632836,0.038309828,,,4.269650746,-0.000474304,,
,250,4.285649368,0.37042084,4.269650746,0.039928735,4.269650746,0.368991506,4.269650746,0.001648314,4.269650746,0.038280421,,,4.264668657,-0.000486105,,
,250,4.280648871,0.370020626,4.264668657,0.039923296,4.264668657,0.36859129,4.264668657,0.00167392,4.264668657,0.038249375,,,4.259686567,-0.000496335,,
,250,4.275648373,0.369620802,4.259686567,0.039914958,4.259686567,0.368190064,4.259686567,0.001698333,4.259686567,0.038216625,,,4.254704478,-0.000504637,,
,250,4.270647876,0.369221166,4.254704478,0.039903181,4.254704478,0.367787628,4.254704478,0.001721098,4.254704478,0.038182083,,,4.249722388,-0.000510655,,
,250,4.265647378,0.368821514,4.249722388,0.039887378,4.249722388,0.367383781,4.249722388,0.001741754,4.249722388,0.038145624,,,4.244740299,-0.000514033,,
,250,4.260646881,0.368421645,4.244740299,0.039866893,4.244740299,0.366978324,4.244740299,0.001759787,4.244740299,0.038107106,,,4.239758209,-0.000514414,,
,250,4.255646383,0.368021355,4.239758209,0.039840986,4.239758209,0.366571056,4.239758209,0.001774598,4.239758209,0.038066389,,,4.234776119,-0.000511327,,
,250,4.250645886,0.367620443,4.234776119,0.039808948,4.234776119,0.366161893,4.234776119,0.001785675,4.234776119,0.038023273,,,4.22979403,-0.00050404,,
,250,4.245645388,0.367218705,4.22979403,0.039770242,4.22979403,0.365751008,4.22979403,0.001792744,4.22979403,0.037977497,,,4.22481194,-0.000491771,,
,250,4.240644891,0.36681594,4.22481194,0.039724266,4.22481194,0.365338629,4.22481194,0.001795448,4.22481194,0.037928818,,,4.219829851,-0.000473735,,
,250,4.235644393,0.366411944,4.219829851,0.03967027,4.219829851,0.364924984,4.219829851,0.001793277,4.219829851,0.037876993,,,4.214847761,-0.000449145,,
,250,4.230643896,0.366006515,4.214847761,0.039607531,4.214847761,0.364510302,4.214847761,0.001785665,4.214847761,0.037821866,,,4.209865672,-0.000417216,,
,250,4.225643398,0.36559945,4.209865672,0.039535634,4.209865672,0.364094813,4.209865672,0.001772161,4.209865672,0.037763473,,,4.204883582,-0.000377162,,
,250,4.2206429,0.365190549,4.204883582,0.039454655,4.204883582,0.363678746,4.204883582,0.001752592,4.204883582,0.037702063,,,4.199901493,-0.000328238,,
,250,4.215642403,0.364779732,4.199901493,0.03936526,4.199901493,0.363262329,4.199901493,0.001727148,4.199901493,0.037638113,,,4.194919403,-0.000270332,,
,250,4.210641905,0.364367196,4.194919403,0.039268759,4.194919403,0.362845793,4.194919403,0.001696412,4.194919403,0.037572347,,,4.189937313,-0.000204928,,
,250,4.205641408,0.363953172,4.189937313,0.039167063,4.189937313,0.362429365,4.189937313,0.001661346,4.189937313,0.037505717,,,4.184955224,-0.000134396,,
,250,4.20064091,0.363537891,4.184955224,0.039062588,4.184955224,0.362013276,4.184955224,0.001623235,4.184955224,0.037439352,,,4.179973134,-6.11E-05,,
,250,4.195640413,0.363121587,4.179973134,0.038958065,4.179973134,0.361597755,4.179973134,0.001583589,4.179973134,0.037374476,,,4.174991045,1.25E-05,,
,250,4.190639915,0.362704489,4.174991045,0.038856304,4.174991045,0.361183029,4.174991045,0.001544,4.174991045,0.037312304,,,4.170008955,8.41E-05,,
,250,4.185639418,0.36228683,4.170008955,0.038759999,4.170008955,0.36076933,4.170008955,0.00150602,4.170008955,0.037253978,,,4.165026866,0.00015121,,
,250,4.18063892,0.361868842,4.165026866,0.038671761,4.165026866,0.360356886,4.165026866,0.001471153,4.165026866,0.037200608,,,4.160044776,0.000211533,,
,250,4.175638423,0.361450757,4.160044776,0.038594179,4.160044776,0.359945925,4.160044776,0.001440875,4.160044776,0.037153304,,,4.155062687,0.000262646,,
,250,4.170637925,0.361032805,4.155062687,0.038529851,4.155062687,0.359536678,4.155062687,0.001416661,4.155062687,0.03711319,,,4.150080597,0.000302158,,
