T [K],X'(1.0Hz),X''(1.0Hz),X'(5.6Hz),X''(5.6Hz),X'(31.6Hz),X''(31.6Hz),X'(177.6Hz),X''(177.6Hz),X'(997.3Hz),X''(997.3Hz),-pi/2 dX/dln(f)(5.6Hz),-pi/2 dX/dln(f)(31.6Hz),-pi/2 dX/dln(f)(177.6Hz)
59.99903,3.49E-07,3.05E-09,3.46E-07,2.95E-09,3.42E-07,3.44E-09,3.39E-07,3.66E-09,3.36E-07,4.68E-09,3.18E-09,3.34E-09,2.91E-09
64.99763,3.31E-07,2.83E-09,3.28E-07,2.88E-09,3.24E-07,3.33E-09,3.18E-07,7.04E-09,3.18E-07,4.35E-09,3.14E-09,4.56E-09,2.97E-09
69.99522,3.15E-07,2.77E-09,3.12E-07,2.85E-09,3.09E-07,3.32E-09,3.05E-07,5.23E-09,3.01E-07,4.48E-09,2.83E-09,3.41E-09,3.59E-09
74.99654,3.00E-07,2.88E-09,2.97E-07,2.71E-09,2.94E-07,3.16E-09,2.92E-07,-5.00E-10,2.88E-07,3.44E-09,2.68E-09,2.49E-09,3.10E-09
79.99611,2.87E-07,2.69E-09,2.84E-07,2.58E-09,2.80E-07,2.84E-09,2.78E-07,1.14E-09,2.75E-07,2.15E-09,2.83E-09,2.59E-09,2.55E-09
84.99377,2.74E-07,2.29E-09,2.72E-07,2.33E-09,2.68E-07,2.36E-09,2.66E-07,2.73E-09,2.62E-07,3.32E-09,2.75E-09,2.93E-09,3.03E-09
89.99676,2.63E-07,2.02E-09,2.61E-07,2.21E-09,2.58E-07,2.36E-09,2.58E-07,3.10E-09,2.52E-07,3.44E-09,2.48E-09,1.07E-09,2.71E-09
94.98994,2.53E-07,2.14E-09,2.50E-07,2.26E-09,2.48E-07,2.32E-09,2.46E-07,2.05E-09,2.42E-07,3.97E-09,2.16E-09,1.82E-09,2.50E-09
99.98944,2.43E-07,2.02E-09,2.41E-07,2.14E-09,2.39E-07,2.45E-09,2.36E-07,1.97E-09,2.34E-07,2.12E-09,1.87E-09,2.21E-09,2.08E-09
104.9959,2.35E-07,1.83E-09,2.33E-07,1.94E-09,2.31E-07,1.89E-09,2.27E-07,4.94E-09,2.26E-07,2.44E-09,1.83E-09,2.76E-09,2.26E-09
109.9955,2.27E-07,1.76E-09,2.25E-07,1.90E-09,2.23E-07,2.50E-09,2.18E-07,3.26E-09,2.19E-07,3.34E-09,1.67E-09,3.08E-09,1.94E-09
114.9862,2.21E-07,1.81E-09,2.19E-07,1.77E-09,2.17E-07,2.11E-09,2.15E-07,4.54E-09,2.13E-07,1.87E-09,1.83E-09,1.73E-09,1.81E-09
119.9866,2.15E-07,1.28E-09,2.14E-07,1.83E-09,2.12E-07,1.57E-09,2.11E-07,4.22E-10,2.08E-07,2.35E-09,1.56E-09,1.17E-09,1.85E-09
124.9832,2.10E-07,1.59E-09,2.09E-07,1.69E-09,2.07E-07,1.98E-09,2.07E-07,-5.35E-10,2.03E-07,2.04E-09,1.23E-09,8.06E-10,2.18E-09
129.9769,2.05E-07,1.37E-09,2.03E-07,1.57E-09,2.02E-07,1.62E-09,1.99E-07,2.81E-09,1.97E-07,9.55E-10,1.43E-09,2.18E-09,2.23E-09
134.9865,1.99E-07,1.44E-09,1.98E-07,1.65E-09,1.97E-07,1.47E-09,1.93E-07,4.61E-09,1.93E-07,2.73E-09,1.19E-09,2.03E-09,1.48E-09
139.991,1.94E-07,1.02E-09,1.93E-07,1.65E-09,1.91E-07,1.60E-09,1.89E-07,2.92E-09,1.87E-07,1.91E-09,1.45E-09,1.62E-09,1.94E-09
144.9748,1.89E-07,1.06E-09,1.88E-07,1.41E-09,1.87E-07,1.42E-09,1.85E-07,2.14E-09,1.81E-07,1.00E-09,1.03E-09,1.21E-09,2.55E-09
149.99,1.84E-07,1.24E-09,1.84E-07,1.43E-09,1.82E-07,1.43E-09,1.80E-07,-2.32E-09,1.78E-07,1.11E-09,1.22E-09,1.67E-09,1.81E-09
154.9893,1.80E-07,1.07E-09,1.79E-07,1.40E-09,1.77E-07,8.17E-10,1.77E-07,2.68E-09,1.75E-07,2.05E-09,1.32E-09,8.03E-10,1.23E-09
159.9895,1.77E-07,9.71E-10,1.75E-07,1.32E-09,1.74E-07,1.30E-09,1.75E-07,4.28E-09,1.70E-07,5.01E-10,1.31E-09,-1.37E-11,1.61E-09
164.9889,1.72E-07,1.20E-09,1.71E-07,1.52E-09,1.70E-07,1.23E-09,1.69E-07,2.52E-10,1.65E-07,3.18E-09,1.19E-09,8.92E-10,2.26E-09
169.9893,1.69E-07,9.46E-10,1.68E-07,1.27E-09,1.66E-07,1.04E-09,1.65E-07,-4.73E-10,1.63E-07,1.02E-09,1.09E-09,1.21E-09,1.66E-09
174.965,1.66E-07,9.57E-10,1.65E-07,1.26E-09,1.63E-07,1.24E-09,1.61E-07,3.08E-09,1.61E-07,2.43E-09,1.14E-09,1.50E-09,1.14E-09
179.9787,1.63E-07,1.26E-09,1.62E-07,1.19E-09,1.61E-07,1.44E-09,1.59E-07,-1.65E-09,1.58E-07,1.46E-09,8.77E-10,1.17E-09,1.44E-09
184.9583,1.60E-07,8.94E-10,1.59E-07,1.11E-09,1.58E-07,8.47E-10,1.57E-07,1.46E-09,1.56E-07,1.32E-09,9.84E-10,6.27E-10,1.01E-09
189.9433,1.57E-07,8.47E-10,1.56E-07,1.01E-09,1.55E-07,8.42E-10,1.54E-07,-5.92E-10,1.54E-07,6.61E-10,1.33E-09,1.12E-09,3.28E-10
194.9785,1.55E-07,1.21E-09,1.54E-07,1.09E-09,1.52E-07,1.18E-09,1.49E-07,1.47E-09,1.49E-07,1.80E-09,1.11E-09,2.08E-09,1.38E-09
199.9422,1.53E-07,9.65E-10,1.51E-07,1.14E-09,1.50E-07,9.27E-10,1.46E-07,-1.09E-10,1.47E-07,6.61E-10,1.24E-09,2.28E-09,1.11E-09
204.9615,1.50E-07,8.71E-10,1.49E-07,1.06E-09,1.47E-07,6.72E-10,1.48E-07,-3.66E-09,1.45E-07,1.36E-09,1.24E-09,6.40E-10,1.06E-09
209.9588,1.48E-07,8.25E-10,1.47E-07,9.75E-10,1.46E-07,1.51E-09,1.46E-07,1.66E-09,1.44E-07,1.81E-09,9.50E-10,5.63E-10,9.42E-10
214.9437,1.46E-07,8.03E-10,1.45E-07,1.07E-09,1.44E-07,1.14E-09,1.42E-07,2.86E-09,1.41E-07,2.95E-10,8.97E-10,1.50E-09,1.49E-09
219.977,1.44E-07,1.00E-09,1.44E-07,8.38E-10,1.42E-07,9.00E-10,1.39E-07,8.78E-10,1.40E-07,-8.43E-11,9.18E-10,2.19E-09,6.94E-10
224.9755,1.42E-07,9.46E-10,1.41E-07,9.70E-10,1.40E-07,1.30E-09,1.39E-07,4.11E-10,1.36E-07,1.61E-09,9.69E-10,1.09E-09,1.64E-09
229.9542,1.40E-07,9.17E-10,1.39E-07,1.13E-09,1.38E-07,4.61E-10,1.34E-07,-1.10E-10,1.36E-07,1.86E-09,9.52E-10,2.11E-09,1.02E-09
234.977,1.39E-07,1.00E-09,1.38E-07,1.21E-09,1.36E-07,1.38E-09,1.38E-07,1.43E-09,1.33E-07,1.10E-09,1.19E-09,-7.97E-11,1.14E-09
239.9739,1.37E-07,8.28E-10,1.36E-07,1.04E-09,1.35E-07,1.06E-09,1.36E-07,2.28E-10,1.31E-07,1.52E-09,1.00E-09,2.25E-10,1.80E-09
244.9697,1.36E-07,8.34E-10,1.34E-07,1.02E-09,1.34E-07,1.23E-09,1.31E-07,3.28E-09,1.32E-07,1.37E-09,8.54E-10,1.69E-09,8.07E-10
249.9748,1.34E-07,1.13E-09,1.33E-07,1.08E-09,1.32E-07,1.20E-09,1.33E-07,2.85E-09,1.30E-07,1.51E-09,1.20E-09,3.31E-10,6.37E-10
254.9782,1.33E-07,1.16E-09,1.32E-07,1.13E-09,1.31E-07,8.08E-10,1.33E-07,2.03E-09,1.28E-07,5.62E-10,1.02E-09,-2.94E-10,1.19E-09
259.9768,1.32E-07,9.77E-10,1.31E-07,1.10E-09,1.30E-07,1.02E-09,1.24E-07,-3.97E-09,1.27E-07,1.57E-09,7.10E-10,3.26E-09,1.61E-09
264.9726,1.31E-07,1.22E-09,1.30E-07,1.21E-09,1.28E-07,8.55E-10,1.31E-07,-4.57E-12,1.27E-07,1.51E-09,1.28E-09,-5.81E-10,6.00E-10
269.9826,1.30E-07,1.10E-09,1.29E-07,1.29E-09,1.28E-07,1.36E-09,1.27E-07,1.67E-09,1.25E-07,1.18E-09,1.06E-09,7.41E-10,1.32E-09
274.9724,1.30E-07,1.31E-09,1.28E-07,1.19E-09,1.27E-07,4.30E-10,1.24E-07,1.54E-09,1.25E-07,3.29E-10,1.13E-09,1.99E-09,1.04E-09
279.9886,1.29E-07,1.38E-09,1.27E-07,1.18E-09,1.27E-07,8.52E-10,1.28E-07,1.06E-09,1.23E-07,7.06E-10,6.88E-10,-3.41E-10,1.78E-09
284.9788,1.27E-07,1.19E-09,1.26E-07,1.27E-09,1.24E-07,1.42E-09,1.23E-07,3.82E-10,1.21E-07,5.71E-10,1.32E-09,1.59E-09,1.55E-09
289.9819,1.27E-07,1.52E-09,1.26E-07,1.19E-09,1.24E-07,1.61E-09,1.22E-07,-9.30E-10,1.22E-07,1.59E-09,1.51E-09,1.51E-09,8.13E-10
294.985,1.26E-07,1.31E-09,1.24E-07,1.29E-09,1.23E-07,1.59E-09,1.20E-07,-8.85E-10,1.21E-07,1.55E-09,1.34E-09,1.91E-09,9.29E-10
299.9825,1.24E-07,1.63E-09,1.24E-07,1.16E-09,1.22E-07,1.54E-09,1.23E-07,3.66E-09,1.19E-07,2.40E-09,7.60E-10,2.59E-10,1.07E-09
